,Title,Label,Type,Price,Location,Baths,Area,Purpose,Bedroom(s),Added,Description,Main Features,Rooms,Business and Communication,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities,Popular,Source,Time Stamp
419,Brand New 25x40 Corner House For Sale G13 Islamabad,"G-13, Islamabad, Islamabad Capital",House,PKR   1.6 Crore,"G-13, Islamabad, Islamabad Capital",4,4 Marla,For Sale,3,2 days ago,"Beautifully made Corner house with elegant design on ideal location3 Bedrooms with attached washrooms 2 Kitchen 2 TV Lounge Drawing Room Car porch Separate Gas and Electricity meter Gas +Water supply +Water boreEquipped with all facilities Near to main Double Road and Kashmir HighwayAvailable at most reasonable priceMOUNT PAKISTAN, the most prestigious and trusted real estate agency and builders of PakistanPlease don’t hesitate to call for more information or to schedule a meeting with us"," Built in year: 2017 , Parking Spaces: 1 , Flooring , Electricity Backup , Floors: 2 , Other Main Features"," Bedrooms: 3 , Bathrooms: 4 , Servant Quarters: 1 , Kitchens: 2 , Lounge or Sitting Room"," Broadband Internet Access , Satellite or Cable TV Ready , Other Business and Communication Facilities", ," Nearby Schools , Nearby Hospitals , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Other Facilities",,Islamabad-3-17,3/31/2019 23:28
420,1 Kanal House Solid Construction And Wood Work,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   4.5 Crore,"DHA Defence, Islamabad, Islamabad Capital",7,1 Kanal,For Sale,6,2 days ago,"Excellent interior and exterior. fully furnished Nicely build 1 kanal house. Car porch of 3 cars. Most beautiful entrance. 6 bed attach baths, drawing room, dining T. v lounge, kitchen, balconies and terrace. Servant quarter with bath. Imported fittings and fixtures. . For more options contact us"," Built in year: 2019 , Parking Spaces: 3 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 6 , Bathrooms: 7 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms)"," Maintenance Staff , Security Staff , Facilities for Disabled",,Islamabad-3-17,3/31/2019 23:28
421,Nicely Build 1 Kanal House For Sale In Bahria Town,"Bahria Town, Islamabad, Islamabad Capital",House,PKR   4.25 Crore,"Bahria Town, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,2 days ago,"Excellent interior and exterior. Nicely build 1-kanal house. 6 beds, double story. Ground floor 3 bedroom with attach baths. Drawing and dining room, T. v lounge, powder room and kitchen. Car porch of 3 cars. Most beautiful entrance. 1st floor: 3 bed attach baths, drawing room, T. v lounge, kitchen, balconies and terrace. Servant quarter with bath. Imported fittings and fixtures. It is the only housing scheme, in which you can enjoy Luxuries of life Very economically. Shopping, Zoo’s, Parks, Hospital, Mosque, School, College’s, Cinema,s, Restaurants, Tennis Club etc. For more options contact us."," Built in year: 2019 , Parking Spaces: 3 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room", Broadband Internet Access, Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms)"," Maintenance Staff , Security Staff , Facilities for Disabled",,Islamabad-3-17,3/31/2019 23:28
422,Out Class 10 Marla House In Bahria Town,"Bahria Town, Islamabad, Islamabad Capital",House,PKR   2.45 Crore,"Bahria Town, Islamabad, Islamabad Capital",6,10 Marla,For Sale,5,2 days ago,10 Marla house for sale having Excellent interior and exterior. 5 beds with attach baths. Tiled flooring. Double glazed glass windows. Car porch for 3 cars. Imported fittings and fixtures. Ash wood. Balconies and terraces. Beautiful house and beautiful location. Drawing And Dining Room:-Drawing dining German laminated wooden flooring imported by innovation solid ash wood door wooden & Ghani’s glass beautiful doors look fireplace stone walls beautiful stones work. TV Lounge:-Imported wall paper solid ash wood and wall with cabinet for TV.," Built in year: 2018 , Parking Spaces: 3 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service"," Maintenance Staff , Security Staff , Facilities for Disabled",,Islamabad-3-17,3/31/2019 23:28
423,30x60 Brand New House Is Available For Sale,"G-13/2, G-13, Islamabad, Islamabad Capital",House,PKR   2.35 Crore,"G-13, Islamabad, Islamabad Capital",6,8 Marla,For Sale,5,2 days ago,"Owner Built Beautiful brand new elegant, decent, lavish, practical and magnificent house for sale. A gift for those families who are seeking a lavish and practical living in ISB. Most desirable life style. Clean, energy efficient, peaceful environment and healthier living in general. Green atmosphere. Feel safe and secure in your neighborhood. Imported tiles rain shower, glass cabin bathroom with imported fitting and fixtures. Beautiful electric fittings. fully loaded kitchen with all modern and imported appliances. Excellent interior out class fall ceiling design. Marble/tiles flooring. Brilliant DIYAR wooden work in whole house. Near Kashmir highway, Near Double road, Near to new Airport Islamabad. Direct approach from anywhere with in a couple of minutes. House Features:size 30x60 Ground portion2 bedroom3 bathroom1 kitchenDrawing DinningTV LoungeLobbyStudiesIron areaLaundrycourtyardsBar. B. Q area in houseUpper portion3 bedroom3 bathroom 1 kitchenDrawing/DinningLoungePrayer areaGYM roomDelightful TerraceMumty with Attached bathroom and servant quarter Small garden outside the entranceHuge car parkingWater filtration plant 5 mint a way from location. All facilities are available at your door step. Commercial area is very near to premises. Approachable McDonald, Hospital, Park with jogging track etc Separate Gas and Electricity meter Gas +Water supply +Water boreEquipped with all facilities"," Built in year: 2017 , Parking Spaces , Double Glazed Windows , Central Air Conditioning , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Other Facilities",,Islamabad-3-17,3/31/2019 23:28
424,Luxury 1 Kanal House Is For Sale On Heighted Location,"Bahria Town, Islamabad, Islamabad Capital",House,PKR   4.25 Crore,"Bahria Town, Islamabad, Islamabad Capital",7,1 Kanal,For Sale,6,2 days ago,"Newly constructed at a Very peaceful locationSolid construction and Beautiful FinishingExcellent Woodwork, Quality Fittings And Stylish kitchensNear to Grand Masjid, Park and CommercialThis house features:2 Independent portions5 Spacious bedrooms6 Bathrooms2 Drawing room2 Dining rooms2 Stylish kitchens2 Living rooms2 Servant room with attached bathEntrance lobby with stairsParking space for 5 carsFor more options and visit please contact us. AIM REAL ESTATENOW PROVIDING CONSTRUCTION SERVICES"," Built in year: 2018 , Parking Spaces: 4 , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 6 , Bathrooms: 7 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Powder Room  , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", , ," Maintenance Staff , Security Staff , Facilities for Disabled",,Islamabad-3-17,3/31/2019 23:28
425,Amazing 7 Bed House On Main Boulevard,"Bahria Town, Islamabad, Islamabad Capital",House,PKR   4.1 Crore,"Bahria Town, Islamabad, Islamabad Capital",7,1 Kanal,For Sale,7,2 days ago,"Newly constructed at a Very peaceful locationSolid construction and Beautiful FinishingExcellent Woodwork, Quality Fittings And Stylish kitchensNear to Grand Masjid, Park and CommercialThis house features:2 Independent portions7 Spacious bedrooms8 Bathrooms2 Drawing room2 Dining rooms2 Stylish kitchens2 Living rooms2 Servant room with attached bathEntrance lobby with stairsParking space for 3 carsFor more options and visit please contact us. AIM REAL ESTATENOW PROVIDING CONSTRUCTION SERVICES"," Built in year: 2019 , Parking Spaces: 3 , Flooring , Electricity Backup , Waste Disposal , Floors: 3 , Other Main Features"," Bedrooms: 7 , Bathrooms: 7 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", , ," Maintenance Staff , Security Staff , Facilities for Disabled",,Islamabad-3-17,3/31/2019 23:28
426,400 sqyard Brand New Double Story House for sale in MCHS E112,"E-11/2, E-11, Islamabad, Islamabad Capital",House,PKR   5 Crore,"E-11, Islamabad, Islamabad Capital",6,16 Marla,For Sale,6,1 week ago,"A brand new 400 sq. yard double story House is for Sale in Medical Cooperative Housing Society E-11/2. It has 3 bedrooms with attach bathrooms, Drawing, Dining, TV Lounge, Store room & Kitchen on Ground floor. It has 3 bedrooms with attached bath, Drawing, Dining, TV Lounge, Store room & Kitchen also on First floor. On Terris floor it has studio type kitchen, 1 bathroom & 1 Room. It is an ideal opportunity for residence in heart of Islamabad. This house offers complete facilities of life with sufficient living space"," Built in year , Parking Spaces , Flooring , Floors: 2"," Bedrooms: 6 , Bathrooms: 6 , Servant Quarters , Drawing Room , Dining Room , Kitchens: 3 , Store Rooms: 2 , Lounge or Sitting Room , Laundry Room", , Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Nearby Public Transport Service"," Maintenance Staff , Security Staff",hot,Islamabad-3-18,3/31/2019 23:29
427,E-11 Brand New House Available For Sale Beautiful Location,"E-11/1, E-11, Islamabad, Islamabad Capital",House,PKR   5.5 Crore,"E-11, Islamabad, Islamabad Capital",7,12.4 Marla,For Sale,7,1 week ago,"E-11/ Brand New House Available For Sale Beautiful Location Size 35X80, 311, Square Yards 7- Bed With Bath 2- Drawing Dining 2- T/v Lounge 2- Kitchen  2- Servant Quarter  Please Feel Free To Call Us If You Need Further Details About It. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal, And Please Do Not Forget To Mention Zameen. com When Calling."," Built in year , Parking Spaces , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors , Other Main Features"," Bedrooms , Bathrooms , Servant Quarters , Drawing Room , Dining Room , Kitchens , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Islamabad-3-18,3/31/2019 23:29
428,G-9 Brand New House Available For Sale Beautiful Location,"G-9, Islamabad, Islamabad Capital",House,PKR   5.5 Crore,"G-9, Islamabad, Islamabad Capital",6,7.1 Marla,For Sale,5,1 week ago,"G-9 Brand New House Available For Sale Beautiful Location  Size 40x40. 177. Square Yards 5- Bed With Bath 2- Drawing Dining 2- T/v Lounge 2- Kitchen 1- Service Quarter /wide Street    Please Feel Free To Call Us If You Need Further Details About It. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal, And Please Do Not Forget To Mention Zameen. com When Calling."," Built in year , Parking Spaces , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors , Other Main Features"," Bedrooms , Bathrooms , Servant Quarters , Drawing Room , Dining Room , Kitchens , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Islamabad-3-18,3/31/2019 23:29
429,G-11 Brand New House Available For Sale Beautiful Location,"G-11/1, G-11, Islamabad, Islamabad Capital",House,PKR   2.4 Crore,"G-11, Islamabad, Islamabad Capital",5,5.5 Marla,For Sale,4,1 week ago,"G-11/brand New House Available For Sale Beautiful Location  Size 25X50. 138. Square Yards 4- Bed With Bath 2- Drawing Dining 2- T/v Lounge 2- Kitchen 1- Service Quarter /front Open Par Face    Please Feel Free To Call Us If You Need Further Details About It. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal, And Please Do Not Forget To Mention Zameen. com When Calling."," Built in year , Parking Spaces , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors , Other Main Features"," Bedrooms , Bathrooms , Servant Quarters , Drawing Room , Dining Room , Kitchens , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Islamabad-3-18,3/31/2019 23:29
